mileage_km,is_automatic,engine_size_l,brand,age_years,price
133712,No,1,Honda,9,12836.90636
73201,,3,BMW,2,26638.32267
153770,No,3,BMW,1,22383.97603
162325,Yes,3,,5,22190.69594
32203,Yes,2,nissan,2,26949.0782
61402,Yes,2,Ford,,18524.48631
125753,Yes,3,nissan,6,19520.95366
105769,Yes,1,Ford,9,14261.34699
119244,Yes,2,Honda,10,14371.77433
81613,Yes,2,Honda,10,16485.05343
159573,Yes,3,Honda,5,19084.95066
155001,No,1,Ford,10,10807.74301
122971,Yes,1,BMW,5,17073.94633
170726,Yes,2,Ford,10,13519.47014
141038,,2,nissan,12,14164.21183
81332,No,1,BMW,11,15180.88603
136594,No,2,Honda,7,18334.37727
,No,3,nissan,10,17735.46945
,No,3,Honda,3,19467.96818
117753,Yes,2,Ford,2,21815.27428
111681,No,2,BMW,10,15005.83994
89358,Yes,3,Honda,13,18084.64201
437536,No,3,nissan,4,23296.20655
,Yes,2,nissan,8,16097.55319
100725,Yes,3,BMW,10,19600.25878
104154,No,2,nissan,6,18439.70556
143954,No,1,Ford,7,14756.93773
136445,No,1,Honda,10,10519.41445
138573,Yes,2,BMW,,16243.87244
139387,Yes,2,BMW,8,17617.02234
,,2,Honda,5,14606.71108
101711,Yes,3,Ford,8,21760.31942
96949,Yes,2,nissan,,18486.36928
83380,Yes,2,BMW,7,19281.57337
147719,,1,nissan,6,13874.2568
170804,Yes,3,Ford,8,15848.89968
114872,No,2,BMW,5,17664.67079
82193,No,1,BMW,8,15702.7567
82898,No,2,Honda,7,17981.30671
149277,Yes,1,nissan,5,14692.63539
153446,Yes,2,BMW,1,19536.02509
144442,Yes,2,Ford,11,13530.87393
90052,No,1,Ford,11,13720.47924
130447,Yes,,Honda,5,17929.38091
125251,Yes,1,Honda,10,14316.93724
129841,No,1,nissan,4,14528.99215
,No,1,BMW,7,12480.73433
130062,No,2,BMW,6,14648.96335
150551,Yes,1,BMW,7,14811.34554
123041,No,2,nissan,10,14259.02043
133010,Yes,2,Ford,7,17171.46224
148408,Yes,3,BMW,7,18945.6901
54428,No,,Honda,11,19574.46146
105615,No,2,Honda,8,16852.9377
98833,Yes,2,Ford,6,19829.26677
91250,Yes,2,BMW,9,18652.86639
107619,Yes,2,Honda,11,14437.07685
187272,No,2,Honda,12,10277.92614
81038,No,2,BMW,3,22143.78537
163573,Yes,1,BMW,4,17448.00923
44271,Yes,2,BMW,11,19155.20921
104930,No,2,Honda,7,15714.73546
127324,No,3,BMW,0,23059.31642
146380,Yes,2,Ford,5,19172.79052
152005,Yes,1,Ford,6,16247.97464
,No,3,nissan,7,16214.02862
104307,Yes,1,Ford,11,12999.52622
99194,Yes,3,Ford,5,23419.2589
158609,No,1,Ford,11,9494.342469
111391,Yes,2,Honda,9,17718.26046
62594,No,2,nissan,3,23799.43158
69002,,2,,7,19285.27102
78625,Yes,2,Ford,10,16672.47574
142372,Yes,1,Ford,8,11969.5196
126409,No,2,Ford,9,13616.46518
151072,,2,Honda,6,16231.69897
100774,Yes,1,,10,12112.82431
127134,Yes,2,Ford,7,16487.67427
148152,Yes,1,Ford,,8221.547678
106079,No,2,BMW,3,21748.4159
140555,No,2,Honda,17,8517.535715
90213,No,3,BMW,5,21896.13512
103663,Yes,2,Ford,12,14386.78073
102822,Yes,2,,,18113.87361
66187,No,2,BMW,5,20341.51339
141914,Yes,1,BMW,10,11878.99484
98877,No,2,Honda,6,18214.44539
120562,Yes,2,Honda,9,16082.14311
141634,Yes,2,Ford,9,16395.10975
140094,Yes,2,,7,14518.08321
149942,Yes,1,nissan,6,11777.23266
115568,Yes,2,nissan,9,16739.83018
100952,Yes,2,Honda,5,19297.79106
116413,Yes,2,Honda,,19491.8835
44070,Yes,2,Honda,11,18386.6371
54880,No,1,Honda,9,16155.38089
60479,,2,BMW,3,23494.86565
75124,No,2,Ford,4,21345.87307
137990,Yes,3,BMW,1,23047.86327
,Yes,2,nissan,11,16314.10056
102983,Yes,2,Honda,10,15766.5364
178465,No,2,nissan,4,14499.84726
103968,No,1,BMW,10,14335.69419
153188,No,1,,15,6443.200607
77987,Yes,2,Honda,3,22001.93593
110755,No,1,nissan,6,15999.14351
