area_sqft,has_elevator,bedrooms,Location,building_age,monthly_rent
250,No,2,Suburb,0,870
1212,No,2,Uptown,12,1968
,No,4,Downtown,11,2830
1102,Yes,4,Suburb,15,2218
1090,Yes,2,Downtown,5,2363
1046,No,2,Suburb,19,1588
837,Yes,3,Old Town,20,1419
1101,No,4,Suburb,17,2085
2686,Yes,6,Suburb,14,3845
457,No,2,Downtown,12,1546
1907,Yes,3,Suburb,,2644
1046,Yes,3,Uptown,5,2169
919,Yes,4,Downtown,35,2447
1620,Yes,,Old Town,28,1707
1738,No,3,Uptown,0,2929
2026,No,3,Old Town,32,2343
1843,Yes,1,Suburb,21,2181
626,Yes,,Suburb,21,1334
1405,Yes,3,Uptown,15,2504
1651,No,3,Suburb,24,2569
1599,No,,Downtown,14,2639
553,No,4,Downtown,11,1886
882,Yes,2,Uptown,14,1890
916,No,,Downtown,14,2596
1577,Yes,4,Downtown,18,3164
1007,Yes,2,Uptown,20,1994
1483,No,3,Downtown,0,2610
1145,Yes,3,Downtown,,2103
1583,No,1,Suburb,17,1787
1344,,4,Suburb,24,2118
1398,No,2,Downtown,20,2002
397,No,3,Downtown,0,1602
844,Yes,2,Uptown,20,1875
1559,Yes,,Uptown,14,2110
,Yes,4,Old Town,1,2253
763,Yes,3,Suburb,12,1853
587,No,2,Downtown,7,1577
448,Yes,1,Uptown,23,1260
1435,No,,Old Town,30,1801
2135,Yes,3,Downtown,21,3213
457,No,3,Downtown,24,1547
1415,Yes,1,Downtown,9,2255
1095,No,4,Downtown,24,2536
1166,Yes,2,Old Town,14,1728
1331,No,3,Uptown,2,2596
543,No,2,Downtown,17,1592
1266,,3,Downtown,20,2644
2023,Yes,1,Downtown,28,2678
1359,No,1,Downtown,15,2050
1290,,3,Downtown,8,2561
1297,No,4,Downtown,21,2638
1159,No,3,Uptown,17,1981
1593,Yes,2,Downtown,13,2525
1768,No,4,Suburb,20,2816
1110,No,3,Downtown,,1950
586,No,2,Downtown,17,1682
1673,No,3,Suburb,43,2377
1183,Yes,2,Suburb,7,1998
1133,No,2,Uptown,19,1738
1663,Yes,3,Downtown,23,2708
1144,No,2,Downtown,3,2086
1739,Yes,3,Suburb,19,2554
1814,No,2,Uptown,,2808
1737,No,2,Uptown,12,2508
1436,No,3,Uptown,11,2392
1244,Yes,1,Old Town,11,1728
1053,Yes,,Suburb,42,1531
773,No,3,Downtown,16,2037
1823,No,2,Suburb,24,2487
1263,Yes,1,Downtown,9,2102
991,Yes,3,Uptown,21,2129
1495,Yes,3,Downtown,6,2819
1886,No,3,Suburb,37,2483
1305,No,3,,24,2127
1692,No,2,Old Town,22,1990
1743,Yes,2,Downtown,14,2736
1278,No,3,Downtown,20,2230
1106,No,3,Downtown,34,1994
1654,Yes,2,Uptown,16,2666
1358,Yes,2,Suburb,21,2007
1346,No,3,Suburb,7,2160
1195,No,3,Downtown,,2442
1339,Yes,2,Uptown,19,2082
1015,Yes,3,Uptown,22,1971
1012,No,1,Downtown,9,1544
2207,No,3,Suburb,8,3080
1192,No,3,Uptown,15,2220
1558,No,3,Downtown,23,2604
1078,Yes,2,Uptown,22,2174
1833,Yes,4,Uptown,20,3147
,No,2,Suburb,,2047
1154,Yes,1,Suburb,,1822
376,Yes,2,Old Town,18,930
948,Yes,1,Old Town,0,1537
1577,No,1,Suburb,10,2198
250,No,4,Suburb,22,1688
823,Yes,2,Downtown,32,1931
,No,4,Downtown,18,1658
250,Yes,3,Downtown,26,1390
1330,No,4,Old Town,25,1997
635,Yes,2,Uptown,,1789
1348,Yes,5,Downtown,34,2793
1703,No,1,Downtown,24,2520
1079,No,3,Uptown,20,1872
1193,Yes,2,Suburb,31,1872
919,Yes,4,Old Town,27,1845
1332,Yes,3,Downtown,25,2438
1205,No,1,Uptown,4,1575
642,No,2,Uptown,21,1397
994,Yes,4,Suburb,19,2258
1802,Yes,2,Uptown,18,2718
1803,No,2,Uptown,25,2394
1261,Yes,2,Downtown,12,2336
250,No,2,Uptown,27,916
1605,Yes,,Suburb,17,2831
609,Yes,2,Downtown,24,1535
946,No,3,Old Town,5,1419
1223,,3,Suburb,20,2069
1884,No,3,Suburb,0,2652
1089,Yes,3,Old Town,30,1997
1485,,2,Uptown,20,2432
432,,2,Downtown,15,1586
1311,Yes,3,Downtown,22,2606
1660,No,2,Old Town,17,2132
1024,Yes,3,Suburb,8,1934
1135,No,3,Suburb,16,1780
1860,Yes,3,Suburb,14,2691
1039,No,3,Suburb,10,1691
1400,Yes,3,Uptown,12,2701
841,Yes,2,Downtown,15,1876
1170,,3,Downtown,27,2213
726,Yes,2,Downtown,27,1877
502,Yes,,Uptown,22,2025
986,No,4,Old Town,30,1477
1735,Yes,4,Downtown,32,2945
1319,No,2,Downtown,41,1980
1545,Yes,2,Downtown,9,2318
,No,1,Suburb,25,895
2155,No,1,Uptown,25,2727
1633,Yes,,Uptown,21,2589
,No,4,Suburb,13,1663
992,Yes,2,Suburb,25,1577
510,Yes,2,Old Town,35,1024
458,No,,Uptown,32,1414
1379,Yes,1,Suburb,32,1670
250,No,3,Suburb,19,1239
1257,Yes,4,Old Town,0,2165
869,Yes,4,Downtown,19,2261
1443,Yes,3,Suburb,13,2317
1251,No,3,Suburb,39,1715
558,,,Downtown,19,1755
1084,No,3,Old Town,16,1956
1258,,4,Suburb,19,2442
1231,Yes,3,Downtown,23,2184
1154,No,2,,18,1692
1752,Yes,2,Downtown,18,2504
1693,Yes,3,Downtown,28,2863
690,Yes,3,Downtown,3,2129
566,No,2,Downtown,24,1601
613,,2,Suburb,14,1334
1103,No,5,Uptown,28,2392
1290,No,4,Downtown,17,2575
2010,No,5,Uptown,12,3362
791,No,3,Downtown,20,2062
1196,No,4,Uptown,13,2314
1089,Yes,2,,31,1612
1405,Yes,4,Downtown,21,2729
1167,No,3,Uptown,9,2070
810,No,4,Uptown,12,1962
1260,No,3,Old Town,17,1843
1970,Yes,1,Downtown,17,2630
1169,No,2,Uptown,20,1768
1947,Yes,4,Downtown,5,3452
1150,No,2,Suburb,35,1815
1733,No,3,Downtown,14,2729
937,No,2,Uptown,11,1896
1418,No,4,Downtown,9,2566
1710,No,1,Downtown,9,2577
1576,Yes,2,Suburb,25,2152
2001,No,1,Downtown,14,2625
2463,Yes,2,Downtown,5,3355
527,No,3,Suburb,14,1477
,No,1,Uptown,21,1367
551,No,,Uptown,25,1112
2068,No,2,Downtown,6,2858
926,No,2,Downtown,0,2053
1044,Yes,2,Uptown,8,2010
1435,No,3,Uptown,36,2132
1181,No,3,Old Town,0,1996
1361,No,1,Downtown,8,2151
,Yes,3,Suburb,20,1946
,Yes,2,,39,2635
706,No,3,Old Town,14,1383
1153,Yes,2,Suburb,21,1969
2638,No,7,Suburb,29,3727
1497,No,2,Uptown,9,2158
1373,No,4,Uptown,33,2584
1059,,4,Uptown,10,2284
882,,2,Old Town,24,1685
1984,Yes,3,Downtown,42,2933
,Yes,3,Old Town,12,1591
1576,No,3,Downtown,17,2550
642,,1,Downtown,14,1364
1406,No,1,Downtown,17,1787
1627,Yes,3,Downtown,14,2802
593,Yes,4,,24,1854
,No,3,Downtown,19,2611
909,No,3,Suburb,21,1993
250,Yes,3,Downtown,17,1651
1560,No,3,,17,2635
722,No,4,Uptown,19,1853
893,,2,Downtown,18,1844
533,No,3,Old Town,15,1603
876,No,2,Old Town,25,1107
1832,Yes,2,Suburb,17,2767
1998,Yes,,Downtown,23,3383
818,,3,Uptown,21,1688
1113,No,3,,32,1719
1315,Yes,3,Downtown,7,2772
719,,1,Suburb,19,1146
1480,No,,Downtown,22,2469
1835,,3,Downtown,25,2586
644,Yes,1,Old Town,14,902
1808,No,2,Uptown,29,2500
654,No,3,Downtown,0,1890
1063,No,2,Downtown,,1898
2322,No,3,Downtown,33,3023
2036,No,2,Suburb,18,2361
