trip_duration_min,is_peak_time,distance_km,neighborhood_type,base_rate_multiplier,trip_fare
22,No,9,Airport,0.80,17.32
17,Yes,9,,,16.39
29,No,4,Business,1.27,14.35
18,No,7,Residential,1.34,14.07
14,No,8,Rural,1.38,15.29
20,No,1,Airport,1.00,10.74
10,Yes,3,Residential,1.17,10.12
18,No,1,Rural,1.27,10.68
7,No,6,Residential,1.36,11.77
12,No,4,Rural,1.23,12.66
12,No,5,Airport,0.93,11.46
10,Yes,2,Airport,1.30,10.35
18,Yes,2,Business,1.21,11.50
20,No,4,Business,1.28,12.26
17,Yes,7,Residential,1.55,14.31
21,No,6,Business,1.33,13.93
22,No,6,Residential,1.02,13.11
8,Yes,2,Residential,1.08,9.27
13,Yes,,Business,0.82,11.18
11,Yes,9,Business,1.27,16.06
14,No,9,Business,1.25,15.44
8,Yes,3,Airport,1.07,10.93
,No,7,Rural,1.16,13.44
21,Yes,2,Business,1.45,11.98
18,Yes,8,Residential,1.17,15.50
10,No,2,,1.44,9.09
9,No,5,Business,1.10,10.83
24,Yes,5,Rural,,14.30
18,Yes,8,Business,1.02,15.16
17,No,2,Rural,1.22,10.29
3,No,3,Rural,1.19,9.77
7,,12,,0.80,19.72
15,No,7,Business,1.48,13.76
3,No,6,Residential,1.51,10.48
17,No,7,Rural,1.17,14.71
3,No,9,Residential,1.02,12.47
18,Yes,6,Residential,,13.08
11,No,7,Business,1.45,12.64
14,Yes,1,Business,1.05,9.07
12,No,1,Business,0.80,7.92
10,Yes,9,Business,0.93,14.85
23,No,10,Residential,1.50,17.18
13,No,7,Business,1.17,13.68
13,Yes,5,Residential,1.40,12.92
17,No,5,Residential,1.37,11.71
23,No,1,Residential,1.05,10.48
16,No,,Rural,1.13,14.07
16,Yes,3,Business,1.01,11.43
18,,1,Business,1.11,9.65
29,No,20,Rural,1.11,31.01
17,No,2,Airport,1.38,11.94
24,No,7,Residential,1.31,13.96
8,No,11,Rural,1.26,15.93
12,No,2,Business,1.25,9.67
19,No,5,Airport,1.12,14.53
27,No,6,Residential,0.96,13.58
17,No,8,Business,1.21,14.88
15,No,2,Rural,0.87,9.81
15,No,7,Business,0.80,13.49
16,No,6,,1.35,13.09
13,No,7,Business,1.29,14.00
17,No,7,Rural,1.34,14.05
16,Yes,7,Rural,0.87,14.13
12,No,5,Residential,1.08,11.91
12,No,1,Airport,1.24,9.37
7,No,2,Rural,1.16,8.34
12,No,3,Airport,0.98,10.66
19,Yes,10,Residential,1.57,17.82
16,No,1,,1.10,9.68
12,No,6,Residential,1.05,11.60
6,Yes,3,Business,1.06,9.40
15,No,2,Airport,1.20,11.66
3,No,6,Business,1.49,10.91
5,Yes,4,Business,1.23,10.62
13,Yes,5,Residential,1.07,11.77
13,No,5,Residential,0.92,11.44
16,Yes,3,Business,1.23,11.10
15,No,5,Business,1.04,12.06
12,Yes,9,Residential,0.87,15.11
11,No,9,Rural,1.40,15.19
16,No,,Rural,1.56,11.41
15,Yes,4,Residential,1.60,13.27
18,No,7,Rural,1.36,15.02
21,No,5,Business,1.49,14.34
17,No,5,Business,1.13,12.38
14,No,7,Rural,1.35,13.94
12,No,9,Business,1.38,14.71
14,Yes,6,Business,,13.02
13,No,8,Business,1.23,13.76
19,Yes,6,Rural,1.18,15.19
7,No,2,Business,1.23,9.35
23,No,7,Business,1.44,15.32
16,Yes,4,,1.02,12.32
24,No,3,Rural,,12.66
16,Yes,6,Business,1.14,13.54
3,Yes,1,Rural,,8.84
13,No,5,Residential,1.40,11.83
16,No,6,Business,0.92,13.24
15,No,5,Business,0.96,10.99
8,No,11,Residential,1.46,15.46
9,No,6,Rural,0.80,12.15
11,No,1,Business,1.47,8.58
18,Yes,3,Business,1.39,12.17
19,No,4,Residential,1.08,11.54
13,No,9,Business,0.96,14.29
12,No,7,Residential,1.18,12.48
6,Yes,6,Business,0.90,12.07
11,,4,Business,1.14,10.61
14,No,5,Business,1.28,11.87
5,No,3,Rural,1.38,9.87
15,No,11,Business,1.07,16.18
22,No,,Residential,1.32,12.86
18,Yes,1,Residential,1.07,9.99
6,No,7,Airport,1.47,14.11
9,No,4,Business,1.36,10.50
19,No,5,,1.33,13.51
17,No,5,Business,1.42,12.55
14,No,1,Residential,1.47,9.13
8,Yes,1,Residential,1.13,8.74
17,Yes,3,Rural,1.24,11.77
9,Yes,6,Residential,1.48,13.24
4,No,5,Residential,0.94,9.85
15,Yes,5,Airport,1.37,13.95
28,No,,Rural,1.52,10.85
,Yes,6,Rural,1.61,15.62
16,No,,Business,1.33,10.58
16,Yes,7,Business,1.37,15.67
13,No,15,Business,,25.18
10,,5,Business,,13.05
11,No,3,Residential,1.30,10.38
25,Yes,5,Business,1.18,14.72
6,No,10,,1.02,13.87
14,No,9,Rural,1.11,15.24
16,Yes,4,Business,,11.91
16,No,,Business,1.21,11.08
13,No,2,Rural,1.20,9.47
18,Yes,4,Airport,1.07,14.25
23,Yes,5,Residential,1.06,14.09
22,No,1,Rural,1.25,10.54
27,No,6,Business,0.86,13.90
16,Yes,3,Business,1.23,12.08
11,No,4,Airport,1.40,11.90
24,Yes,4,Rural,1.34,13.63
17,No,3,Residential,1.05,10.31
7,No,4,Rural,,10.83
25,No,,Residential,1.09,11.98
13,Yes,3,Business,1.39,10.53
8,,5,Rural,1.26,10.83
16,No,4,,1.58,11.42
,No,7,Business,0.92,11.90
16,Yes,5,Residential,1.13,12.22
21,No,5,Airport,0.97,13.93
12,,6,Business,1.05,12.02
11,No,1,Business,1.48,9.13
15,No,1,Residential,1.36,9.23
12,No,6,Airport,1.32,13.64
5,No,2,Residential,0.96,8.00
8,No,8,,1.04,12.30
19,No,7,Residential,1.29,13.99
13,Yes,8,Business,1.06,14.84
18,,5,Business,1.39,13.55
12,No,13,Business,1.35,23.04
20,Yes,1,Business,1.11,11.43
10,No,7,Business,1.00,11.88
6,No,8,Residential,,12.54
16,No,3,Residential,1.08,10.13
16,Yes,4,Rural,1.33,13.17
19,No,8,Business,1.14,14.77
17,No,4,Rural,1.01,11.54
12,No,7,Airport,1.40,14.64
3,No,4,Residential,1.07,10.37
10,No,5,Residential,1.27,11.10
20,No,7,Business,0.94,13.42
19,Yes,7,Business,0.81,14.86
12,Yes,2,Airport,1.09,11.72
19,No,4,Residential,1.21,11.37
25,,4,Airport,1.40,15.02
30,No,6,Rural,,15.56
24,Yes,5,Airport,1.26,15.43
10,No,9,Business,1.28,14.66
17,No,11,Airport,1.20,18.09
18,No,7,Business,1.69,14.61
23,No,1,Residential,1.38,10.24
22,No,6,Residential,1.34,14.72
22,No,4,Airport,1.34,14.83
11,Yes,3,Business,0.83,9.75
20,No,4,,1.29,13.31
13,No,9,Business,1.50,15.20
12,No,5,Rural,1.19,11.34
13,No,2,Business,1.08,9.40
19,Yes,,Business,1.04,14.32
28,,13,Business,1.27,20.49
24,No,8,Residential,1.03,15.96
22,No,4,Residential,1.17,12.74
15,No,2,Residential,1.24,9.59
,Yes,3,Business,0.94,10.72
17,No,6,Business,1.59,13.19
15,No,4,Airport,1.04,12.13
14,No,7,,1.39,14.67
16,Yes,5,Rural,1.19,14.35
11,No,11,Rural,1.00,15.78
12,Yes,1,Rural,1.18,9.74
5,Yes,5,Rural,0.98,12.37
12,No,3,Business,1.80,10.91
12,Yes,6,Residential,1.01,12.76
7,No,1,Business,1.43,8.03
17,No,3,Residential,1.25,11.36
4,No,7,Residential,1.05,11.25
8,Yes,,Residential,1.35,13.57
24,No,5,Business,1.04,13.15
11,No,2,Business,1.04,9.33
19,Yes,7,Rural,1.43,16.51
25,No,6,Residential,1.33,13.64
18,No,6,Business,1.16,13.63
9,Yes,4,Rural,0.80,11.98
19,Yes,5,Residential,0.87,12.30
23,No,3,Residential,1.47,12.46
16,No,3,Rural,1.28,11.43
12,No,8,Business,,13.42
15,No,7,Rural,1.19,13.72
13,No,,Airport,1.11,10.03
7,Yes,4,Business,1.33,10.92
23,No,6,Business,,14.06
17,No,9,Residential,1.12,14.76
15,No,7,Residential,1.41,13.20
7,No,4,Business,1.11,9.36
11,,4,Rural,1.32,11.82
11,Yes,2,Residential,0.85,9.20
22,No,6,Business,0.95,13.14
13,Yes,7,,1.15,13.96
7,No,5,Business,1.41,11.53
18,No,11,Airport,1.11,18.26
20,No,4,Rural,1.11,12.74
5,No,1,Residential,1.20,7.88
3,No,4,Residential,1.19,9.46
29,Yes,6,Rural,0.95,16.18
12,No,9,Business,1.43,15.34
13,No,2,Business,1.22,9.73
3,No,4,Business,1.22,9.53
12,No,4,Airport,0.80,11.27
,No,5,Residential,0.96,11.26
19,No,4,Residential,1.11,11.52
3,,5,Airport,1.38,11.85
12,No,7,Residential,1.33,13.00
20,Yes,6,Rural,1.07,15.56
16,Yes,5,Business,,12.32
15,No,6,Rural,0.81,12.23
12,Yes,8,Rural,1.53,16.16
20,No,7,Rural,1.29,14.19
3,No,3,Business,1.24,8.47
3,Yes,9,Rural,0.99,14.19
19,,4,Business,1.42,13.02
16,Yes,4,Rural,1.40,13.38
16,No,4,Rural,1.29,11.31
11,No,3,Rural,1.34,11.22
20,Yes,4,Business,,13.96
13,No,,,1.26,11.18
,No,3,Airport,0.96,11.51
8,No,7,Business,1.20,12.89
12,No,5,Airport,1.46,12.94
15,No,5,Business,1.04,11.43
9,No,5,Business,1.10,10.50
13,No,1,Rural,1.22,9.45
20,No,6,Business,0.86,12.71
6,Yes,6,Business,0.92,12.64
26,Yes,4,Rural,0.92,13.25
17,Yes,5,Business,0.84,12.64
11,No,6,Business,0.95,12.56
